B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
5443,4858,4410,4870,5316,5355,5350,4241,3774,1
481,755,889,1289,2048,2163,2200,2059,1387,0
2607,2731,2343,2952,4704,5102,5236,3271,2287,1
848,1198,1536,1860,2634,2742,3045,2449,1932,0
7460,7332,7767,8469,8421,7697,7998,1128,1076,1
3521,3252,3371,3740,3712,3555,3562,2720,2272,1
7703,7361,7481,8113,8043,7459,7498,6292,6161,1
9523,9225,9624,10589,10137,9322,9642,743,854,3
8731,8271,8928,9480,9049,8414,8805,1026,1124,1
223,508,793,1434,1751,1759,1690,2235,1746,0
386,692,895,1462,1945,2051,2117,2096,1577,0
1378,1824,2014,2539,3403,3612,4042,3638,2904,0
332,655,560,1273,2667,3017,3208,2193,1410,0
289,536,330,957,3168,3953,4327,1727,873,0
286,451,243,801,3138,4342,4754,1559,725,0
362,531,329,860,2837,3966,4269,1604,764,0
258,447,279,890,2938,4012,4456,1615,841,0
5706,5612,5583,5955,6405,6403,6489,6032,5003,1
259,471,404,941,2217,2896,3214,1614,879,0
604,841,1105,1484,1859,2126,2532,2108,1322,0
643,862,1145,1528,2133,2387,2641,2583,1605,0
592,816,1093,1443,1979,2224,2491,2483,1561,0
973,1408,1942,2160,2863,3280,3750,3861,2462,0
806,1210,1647,1916,2500,2728,3155,3399,2289,0
738,1072,1387,1660,2347,2569,2870,2958,1947,0
785,1138,1449,1617,2195,2430,2494,2571,1955,0
638,899,1095,1460,2231,2539,2396,2438,1753,0
