B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
8297,7941,8361,9386,8930,8581,8313,642,763,3
7711,7199,7283,6908,6590,6251,6320,724,608,3
290,494,745,1026,1025,1149,1147,1670,1400,0
865,1237,1646,1898,2130,2168,2392,2970,2648,0
830,1201,1641,1847,2047,2097,2320,3083,2785,0
459,627,871,1071,1217,1357,1430,1623,1221,0
619,852,1172,1416,1535,1613,1716,2180,1804,0
4101,3587,3463,3742,3806,3755,3761,1311,1313,1
841,1189,1593,1900,2177,2325,2419,2929,2421,0
531,920,1077,1737,3078,3437,3687,2502,1709,0
3255,3021,2672,3063,3660,3746,3907,3549,2996,1
12000,12000,11264,11326,10332,9635,9313,1637,1901,1
3983,3824,4066,4664,5349,5481,5648,4869,4224,1
12000,11826,11148,11362,10586,9957,9656,6499,4718,1
301,632,340,1041,4463,5304,5854,2393,1075,0
685,1019,1374,1711,1997,2182,2513,3274,2676,0
574,827,1172,1413,1682,1801,2132,2861,2235,0
817,1116,1543,1757,1973,2094,2426,3239,2756,0
496,782,983,1288,1788,1928,2108,2366,1846,0
6052,5295,4539,4844,5475,5482,5494,4104,3474,1
252,502,430,867,2375,2964,3443,1697,839,0
5244,4729,4281,4752,5763,5877,6013,4238,3701,1
286,416,626,826,975,1092,1198,1291,941,0
8802,8557,9124,10206,9965,9165,9089,1276,1249,1
4021,3802,3752,4116,3963,3773,3759,2668,2173,1
6663,6238,6527,7200,7150,6672,6795,5842,5537,1
9654,9454,9990,10974,10509,9729,9559,762,923,3
9254,8983,9601,10684,10326,9564,9340,817,1000,1
148,310,575,866,1011,1072,1215,1522,993,0
315,523,788,1098,1319,1401,1477,1875,1308,0
827,1154,1472,1871,2294,2433,2722,3258,2672,0
617,977,1164,1633,2358,2507,2801,3095,2459,0
319,560,392,929,2459,2838,3066,1507,728,0
287,541,342,890,2695,3326,3576,1320,583,0
325,554,340,810,2617,3291,3469,1291,556,0
257,480,283,828,2863,3623,3918,1342,625,0
9263,9184,9467,9903,9858,9715,9876,8580,7492,1
309,556,308,936,3078,3870,4329,1657,734,0
382,634,583,1157,2013,2330,2760,1476,831,0
425,673,750,1310,2150,2436,2757,1929,1066,0
587,909,1066,1776,2629,3075,3335,2528,1934,0
9549,8524,8090,8303,8053,7719,7637,5474,3952,1
734,1085,1496,1953,2356,2556,3077,3490,2238,0
605,964,1214,1711,2239,2461,2877,3008,1866,0
816,1090,1498,1730,1936,2081,2376,3207,2576,0
628,840,1074,1327,1634,1767,2009,2520,1928,0
5443,4858,4410,4870,5316,5355,5350,4241,3774,1
481,755,889,1289,2048,2163,2200,2059,1387,0
2607,2731,2343,2952,4704,5102,5236,3271,2287,1
848,1198,1536,1860,2634,2742,3045,2449,1932,0
7460,7332,7767,8469,8421,7697,7998,1128,1076,1
3521,3252,3371,3740,3712,3555,3562,2720,2272,1
7703,7361,7481,8113,8043,7459,7498,6292,6161,1
9523,9225,9624,10589,10137,9322,9642,743,854,3
8731,8271,8928,9480,9049,8414,8805,1026,1124,1
223,508,793,1434,1751,1759,1690,2235,1746,0
386,692,895,1462,1945,2051,2117,2096,1577,0
1378,1824,2014,2539,3403,3612,4042,3638,2904,0
332,655,560,1273,2667,3017,3208,2193,1410,0
289,536,330,957,3168,3953,4327,1727,873,0
286,451,243,801,3138,4342,4754,1559,725,0
362,531,329,860,2837,3966,4269,1604,764,0
258,447,279,890,2938,4012,4456,1615,841,0
5706,5612,5583,5955,6405,6403,6489,6032,5003,1
259,471,404,941,2217,2896,3214,1614,879,0
604,841,1105,1484,1859,2126,2532,2108,1322,0
643,862,1145,1528,2133,2387,2641,2583,1605,0
592,816,1093,1443,1979,2224,2491,2483,1561,0
973,1408,1942,2160,2863,3280,3750,3861,2462,0
806,1210,1647,1916,2500,2728,3155,3399,2289,0
738,1072,1387,1660,2347,2569,2870,2958,1947,0
785,1138,1449,1617,2195,2430,2494,2571,1955,0
638,899,1095,1460,2231,2539,2396,2438,1753,0
5712,5303,4922,5604,6326,6504,6422,4746,4504,1
224,476,290,691,2735,3830,4119,1464,616,0
3012,2820,2354,3134,5339,6020,6197,3368,2458,1
801,1137,1596,2094,2595,2786,3066,2867,2288,0
8671,8355,8792,9698,9483,8684,8579,1231,1240,1
3046,3073,3283,3669,3638,3552,3622,3254,2899,1
4069,3902,4057,4565,4619,4381,4625,3845,3917,1
9892,9540,9993,10901,10391,9661,9633,1017,1196,1
9337,8928,9624,10716,10193,9433,9380,813,989,1
81,267,608,885,1073,1141,1387,1906,1419,0
189,427,647,1020,1385,1517,1654,2076,1524,0
742,1116,1345,1830,2656,2875,3205,3348,2626,0
397,768,718,1285,2909,3312,3529,2538,1623,0
264,487,252,773,3289,4348,4753,1508,659,0
248,474,189,755,3792,5600,6130,1735,707,0
330,519,283,756,3407,5160,5514,1686,688,0
249,485,205,786,3541,5146,5552,1605,700,0
1708,1835,1738,2264,3614,4202,4519,2849,2150,1
302,487,288,770,3209,4779,5258,1544,657,0
399,551,484,953,2012,2400,2716,1002,565,0
581,1007,1098,1691,2838,3317,4028,2013,1094,0
709,1081,1312,1963,2718,3092,3830,2410,1483,0
947,1343,1829,2298,3138,3669,4378,3148,1987,0
564,875,1348,1695,1999,2227,2724,2717,1706,0
578,841,1329,1707,2049,2264,2599,2760,1752,0
821,1253,1892,2315,2694,2934,3564,4298,2803,0
791,1143,1567,2064,2580,2772,3134,3815,2536,0
